symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-02-04 00:00:00+00:00,96.6,97.33,95.19,95.86,46471652,22.530730774,22.7009940604,22.2018660701,22.3581351138,185886608,0.52,1.0
AAPL,2016-02-05 00:00:00+00:00,94.02,96.92,93.69,96.52,46418064,21.9289783371,22.6053667351,21.8520100022,22.5120717837,185672256,0.0,1.0
AAPL,2016-02-08 00:00:00+00:00,95.01,95.7,93.04,93.13,54021375,22.159883342,22.3208171332,21.7004057061,21.7213970702,216085500,0.0,1.0
AAPL,2016-02-09 00:00:00+00:00,94.99,95.94,93.93,94.29,44331195,22.1552185944,22.3767941041,21.9079869731,21.9919524294,177324780,0.0,1.0
AAPL,2016-02-10 00:00:00+00:00,94.27,96.35,94.1,95.92,42343601,21.9872876818,22.4724214293,21.9476373274,22.3721293565,169374404,0.0,1.0
AAPL,2016-02-11 00:00:00+00:00,93.7,94.72,92.59,93.79,50074711,21.854342376,22.0922445022,21.5954488857,21.8753337401,200298844,0.0,1.0
AAPL,2016-02-12 00:00:00+00:00,93.99,94.5,93.01,94.19,40351381,21.9219812158,22.0409322789,21.6934085847,21.9686286915,161405524,0.0,1.0
AAPL,2016-02-16 00:00:00+00:00,96.64,96.85,94.61,95.02,49057916,22.5400602691,22.5890401186,22.0665883905,22.1622157158,196231664,0.0,1.0
AAPL,2016-02-17 00:00:00+00:00,98.12,98.21,96.15,96.67,44863243,22.8852515895,22.9062429535,22.4257739536,22.5470573905,179452972,0.0,1.0
AAPL,2016-02-18 00:00:00+00:00,96.26,98.89,96.091,98.84,39020983,22.4514300652,23.064844371,22.4120129482,23.0531825021,156083932,0.0,1.0
AAPL,2016-02-19 00:00:00+00:00,96.04,96.7599,95.8,96.0,35374173,22.4001178419,22.5680254308,22.3441408711,22.3907883468,141496692,0.0,1.0
AAPL,2016-02-22 00:00:00+00:00,96.88,96.9,95.92,96.31,34280758,22.59603724,22.6007019875,22.3721293565,22.4630919342,137123032,0.0,1.0
AAPL,2016-02-23 00:00:00+00:00,94.69,96.5,94.55,96.4,31942633,22.0852473808,22.5074070361,22.0525941478,22.4840832982,127770532,0.0,1.0
AAPL,2016-02-24 00:00:00+00:00,96.1,96.38,93.32,93.98,36255745,22.4141120847,22.4794185507,21.7657121721,21.919648842,145022980,0.0,1.0
AAPL,2016-02-25 00:00:00+00:00,96.76,96.76,95.25,96.05,27582659,22.5680487545,22.5680487545,22.2158603128,22.4024502157,110330636,0.0,1.0
AAPL,2016-02-26 00:00:00+00:00,96.91,98.0237,96.58,97.2,28991131,22.6030343613,22.8627908299,22.5260660264,22.6706732011,115964524,0.0,1.0
AAPL,2016-02-29 00:00:00+00:00,96.69,98.23,96.65,96.86,35216277,22.551722138,22.9109077011,22.5423926429,22.5913724924,140865108,0.0,1.0
AAPL,2016-03-01 00:00:00+00:00,100.53,100.77,97.42,97.65,50407147,23.4473536719,23.5033306428,22.7219854244,22.7756300215,201628588,0.0,1.0
AAPL,2016-03-02 00:00:00+00:00,100.75,100.89,99.64,100.51,33169560,23.4986658952,23.5313191282,23.2397724049,23.4426889243,132678240,0.0,1.0
AAPL,2016-03-03 00:00:00+00:00,101.5,101.7099,100.45,100.58,36955742,23.6735939292,23.7225504549,23.4286946816,23.4590155408,147822968,0.0,1.0
AAPL,2016-03-04 00:00:00+00:00,103.01,103.75,101.37,102.37,46055100,24.0257823709,24.198378031,23.6432730699,23.8765104486,184220400,0.0,1.0
AAPL,2016-03-07 00:00:00+00:00,101.87,102.83,100.96,102.39,35915810,23.7598917593,23.9837996427,23.5476457447,23.8811751961,143663240,0.0,1.0
AAPL,2016-03-08 00:00:00+00:00,101.03,101.76,100.4,100.78,31182194,23.5639723612,23.7342356476,23.4170328127,23.5056630166,124728776,0.0,1.0
AAPL,2016-03-09 00:00:00+00:00,101.12,101.58,100.27,101.31,27201683,23.5849637253,23.6922529195,23.3867119535,23.6292788272,108806732,0.0,1.0
AAPL,2016-03-10 00:00:00+00:00,101.17,102.24,100.15,101.41,33513577,23.5966255942,23.8461895893,23.358723468,23.6526025651,134054308,0.0,1.0
